Date,Value,Source_File,Data_Source,Generated_At
2012M09,2.7628,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2012M10,2.9538,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2012M11,2.8003,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2012M12,2.896,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2013M01,3.0432,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2013M02,3.0443,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2013M03,2.8002,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2013M04,2.4986,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2013M05,2.5129,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2013M06,2.3258,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2013M07,2.2426,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2013M08,2.3796,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2013M09,2.4224,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2013M10,2.3187,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2013M11,2.3024,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2013M12,2.3125,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2014M01,2.1442,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2014M02,1.9011,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2014M03,1.929,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2014M04,1.7757,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2014M05,1.6931,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2014M06,1.7113,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2014M07,1.7004,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2014M08,1.6661,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2014M09,1.5319,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2014M10,1.5061,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2014M11,1.537,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2014M12,1.4711,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2015M01,1.4198,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2015M02,1.4293,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2015M03,1.4297,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2015M04,1.4071,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2015M05,1.5501,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2015M06,1.5829,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2015M07,1.4531,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2015M08,1.314,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2015M09,1.2393,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2015M10,1.2424,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2015M11,1.161,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2015M12,1.1611,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2016M01,1.0829,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2016M02,1.0963,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2016M03,1.2835,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2016M04,1.4886,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2016M05,1.3583,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2016M06,1.2641,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2016M07,1.2816,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2016M08,1.2973,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2016M09,1.3577,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2016M10,1.4766,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2016M11,1.6586,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2016M12,1.928,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2017M01,2.1623,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2017M02,2.2329,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2017M03,1.966,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2017M04,1.6543,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2017M05,1.5306,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2017M06,1.4397,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2017M07,1.5166,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2017M08,1.5462,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2017M09,1.6082,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2017M10,1.4569,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2017M11,1.4286,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2017M12,1.46,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2018M01,1.5021,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2018M02,1.4618,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2018M03,1.4405,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2018M04,1.3914,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2018M05,1.4392,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2018M06,1.3806,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2018M07,1.3112,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2018M08,1.3399,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2018M09,1.3341,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2018M10,1.3172,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2018M11,1.2346,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2018M12,1.2614,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2019M01,1.3562,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2019M02,1.3987,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2019M03,1.4705,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2019M04,1.5036,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2019M05,1.4958,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
